Test Description,Size,Method,Iteration,Time (ms),GC Time (ms),Allocated (MB),Copied (MB),Max Live Gen 1 (MB),Peak (MB)
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelDps,10,21.0,12.0,32.62445831298828,20.737762451171875,8.064903259277344,20
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.force,1,97.0,70.0,127.80796813964844,103.81443786621094,19.667503356933594,52
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.force,2,102.0,75.0,127.80796813964844,103.81443786621094,19.667503356933594,52
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.force,3,96.0,69.0,127.80796813964844,103.81443786621094,19.667503356933594,52
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.force,4,99.0,71.0,127.80796813964844,103.81443786621094,19.667503356933594,52
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.force,5,97.0,71.0,127.80796813964844,103.81443786621094,19.667503356933594,52
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.force,6,97.0,70.0,127.80796813964844,103.81443786621094,19.667503356933594,52
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.force,7,98.0,71.0,127.80796813964844,103.81443786621094,19.667503356933594,52
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.force,8,97.0,70.0,127.80796813964844,103.81443786621094,19.667503356933594,52
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.force,9,99.0,72.0,127.80796813964844,103.81443786621094,19.667503356933594,52
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.force,10,97.0,70.0,127.80796813964844,103.81443786621094,19.667503356933594,52
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.copyCR,1,102.0,73.0,130.80816650390625,107.41831970214844,19.698684692382812,55
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.copyCR,2,101.0,72.0,130.80816650390625,107.41831970214844,19.698684692382812,55
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.copyCR,3,102.0,73.0,130.80816650390625,107.41831970214844,19.698684692382812,55
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.copyCR,4,107.0,77.0,130.80816650390625,107.41831970214844,19.698684692382812,55
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.copyCR,5,103.0,74.0,130.80816650390625,107.41831970214844,19.698684692382812,55
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.copyCR,6,101.0,73.0,130.80816650390625,107.41831970214844,19.698684692382812,55
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.copyCR,7,104.0,75.0,130.80816650390625,107.41831970214844,19.698684692382812,55
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.copyCR,8,103.0,75.0,130.80816650390625,107.41831970214844,19.698684692382812,55
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.copyCR,9,107.0,77.0,130.80816650390625,107.41831970214844,19.698684692382812,55
DPS interface for compact regions/Breadth-first tree traversal,2^16,relabelPh.copyCR,10,102.0,73.0,130.80816650390625,107.41831970214844,19.698684692382812,55
