Test Description,Size,Method,Time (ms),GC Time (ms),Allocated (MB),Copied (MB),Max Live Gen 1 (MB),Peak (MB)
DPS interface for compact regions/S-expression parser,2^16,parseSExpr.force,3.3,0,3.2908,0.0040359,0.043182,6
DPS interface for compact regions/S-expression parser,2^16,parseSExprDps,5,0,4.6806,0.0040359,0.043182,8
DPS interface for compact regions/S-expression parser,2^19,parseSExpr.copyCR,35.5,19.1,41.627,24.164,16.558,31
DPS interface for compact regions/S-expression parser,2^19,parseSExpr.force,34.4,25.4,25.158,34.157,11.6,27
DPS interface for compact regions/S-expression parser,2^19,parseSExprDps,20.9,1,36.184,0.022118,16.722,25
DPS interface for compact regions/S-expression parser,2^22,parseSExpr.copyCR,348.9,240.8,331.82,361.78,120.07,213
DPS interface for compact regions/S-expression parser,2^22,parseSExpr.force,412.2,354,200.26,482.07,134.72,307
DPS interface for compact regions/S-expression parser,2^22,parseSExprDps,150.3,7.8,288.32,0.049271,138.88,164
DPS interface for compact regions/S-expression parser,2^25,parseSExpr.copyCR,2064.5,1477.1,1326.8,1593.3,472.85,818
DPS interface for compact regions/S-expression parser,2^25,parseSExpr.force,1713,1487.8,800.58,2033.1,536.46,1209
DPS interface for compact regions/S-expression parser,2^25,parseSExprDps,741.6,34.4,1152.8,0.11451,312.72,637
DPS interface for compact regions/map on List,2^10,mapDpsFoldL,2,0,0.36697,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapDpsFoldLS,2,0,0.33663,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapDpsFoldS,3,0,0.26753,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapDpsFoldSL,2.6,0,0.29826,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapDpsTRL,2,0,0.27969,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapDpsTRS,2,0,0.249,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapL.copyCR,2,0,0.333,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapL.force,2.1,0,0.2703,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapS.copyCR,2,0,0.27076,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapS.force,2,0,0.20806,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapSH.copyCR,2,0,0.30249,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapSH.force,2,0,0.23979,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapST.copyCR,2,0,0.30281,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapST.force,2,0,0.24011,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapTRL.copyCR,2,0,0.32667,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapTRL.force,2,0,0.26397,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapTRS.copyCR,2,0,0.2958,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapTRS.force,2,0,0.2331,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapTRSH.copyCR,2,0,0.2964,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapTRSH.force,2,0,0.2337,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapTRST.copyCR,2,0,0.32809,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^10,mapTRST.force,2,0,0.2654,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapDpsFoldL,3,0,2.1954,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapDpsFoldLS,3,0,1.9463,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapDpsFoldS,2.1,0,1.26,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapDpsFoldSL,2.5,0,1.5095,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapDpsTRL,3,0,1.3815,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapDpsTRS,2.2,0,1.1321,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapL.copyCR,3.9,0,1.8176,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapL.force,3,0,1.4737,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapS.copyCR,3,0,1.5054,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapS.force,3,0,1.1615,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapSH.copyCR,3.1,0,1.5684,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapSH.force,3,0,1.2244,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapST.copyCR,3.3,0,1.7562,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapST.force,3.1,0,1.4123,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapTRL.copyCR,3.1,0,1.7566,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapTRL.force,3,0,1.4127,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapTRS.copyCR,3,0,1.507,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapTRS.force,3,0,1.1631,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapTRSH.copyCR,3,0,1.5076,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapTRSH.force,3,0,1.1637,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapTRST.copyCR,3.6,0,1.7581,0.0035019,0.034821,6
DPS interface for compact regions/map on List,2^13,mapTRST.force,3,0,1.4141,0.0035019,0.034821,6
